town,salesprice,lotarea,AC
DUBUQUE,1550000,177725,unknown
ASBURY,375000,6560,Yes
DUBUQUE,251000,8360,Yes
DUBUQUE,253900,9047,Yes
DUBUQUE,215000,10625,Yes
DUBUQUE,144000,6825,Yes
DUBUQUE,177900,9920,Yes
DUBUQUE,127000,6848,Yes
DUBUQUE,127000,6848,Yes
DUBUQUE,215000,12800,Yes
DUBUQUE,144000,11088,Yes
DUBUQUE,108000,0,Yes
DUBUQUE,260000,9353,unknown
DUBUQUE,250000,9549,unknown
DUBUQUE,109900,6250,Yes
DUBUQUE,214900,10200,Yes
DUBUQUE,155900,13068,Yes
DUBUQUE,120000,4368,No
DUBUQUE,107000,5488,Yes
DUBUQUE,130000,6200,Yes
DUBUQUE,56758,1213,No
DUBUQUE,15000,4800,No
DUBUQUE,14000,3000,No
DUBUQUE,68000,2100,Yes
DUBUQUE,145000,2964,No
DUBUQUE,71000,2350,unknown
DUBUQUE,1.00E+05,8272,Yes
DUBUQUE,25000,1260,No
DUBUQUE,249000,18600,Yes
DUBUQUE,48500,5000,No
DUBUQUE,48500,5000,unknown
DUBUQUE,78000,9375,Yes
DUBUQUE,155000,7280,Yes
DUBUQUE,132500,7400,Yes
DUBUQUE,165000,5500,Yes
DUBUQUE,150000,6677,Yes
DUBUQUE,248000,16988,Yes
DUBUQUE,150000,7200,Yes
DUBUQUE,130000,8253,Yes
DUBUQUE,160000,8060,Yes
DUBUQUE,181000,8970,Yes
DUBUQUE,140000,21344,Yes
DUBUQUE,114500,20952,Yes
DUBUQUE,225000,13515,Yes
DUBUQUE,4.00E+05,22200,Yes
DUBUQUE,367000,11160,Yes
DUBUQUE,165000,11700,Yes
DUBUQUE,160000,13200,No
DUBUQUE,163900,6900,Yes
DUBUQUE,0,12730,Yes
DUBUQUE,170000,7050,Yes
DUBUQUE,60000,26136,unknown
DUBUQUE,64500,4900,No
DUBUQUE,64500,4900,unknown
EPWORTH,170000,27764,No
EPWORTH,246000,9775,Yes
FARLEY,259900,18109,Yes
PEOSTA,212000,0,Yes
PEOSTA,44000,20160,unknown
PEOSTA,208500,56192,Yes
PEOSTA,2.00E+05,10200,Yes
PEOSTA,438144,25875,Yes
PEOSTA,320000,52708,Yes
PEOSTA,232500,61855,Yes
PEOSTA,52900,10780,unknown
PEOSTA,62000,21978,unknown
PEOSTA,245000,10328,Yes
PEOSTA,229000,7168,Yes
unknown,358234,45302,Yes
DUBUQUE,815000,28644,Yes
DUBUQUE,71500,31471,unknown
DUBUQUE,514005,25584,Yes
unknown,17000,42253,unknown
DUBUQUE,183000,7490,Yes
DUBUQUE,240000,67518,Yes
unknown,8000,13504,unknown
DUBUQUE,8000,36547,Yes
BELLEVUE,365000,625827,Yes
CASCADE,116500,8910,Yes
CASCADE,78500,7200,Yes
DUBUQUE,710000,326700,Yes
DURANGO,290000,60984,Yes
DUBUQUE,224500,160736,No
NEW VIENNA,120000,13140,Yes
NEW VIENNA,119500,5544,Yes
DYERSVILLE,485000,798890,Yes
DYERSVILLE,289000,22080,Yes
DYERSVILLE,149900,8052,Yes
DUBUQUE,305000,96442,Yes
ASBURY,371800,24140,Yes
ASBURY,46000,12220,unknown
ASBURY,46000,13865,unknown
ASBURY,195700,3038,Yes
ASBURY,236000,8960,Yes
DUBUQUE,27500,31280,unknown
DUBUQUE,140000,14810,Yes
DUBUQUE,160000,6540,Yes
DUBUQUE,360000,207781,Yes
DUBUQUE,315000,43560,Yes
DUBUQUE,187500,20038,Yes
DUBUQUE,95000,5000,Yes
DUBUQUE,60000,2320,Yes
DUBUQUE,95000,5000,unknown
DUBUQUE,95000,5000,Yes
DUBUQUE,35000,2500,Yes
DUBUQUE,33500,6612,Yes
DUBUQUE,81900,2472,Yes
DUBUQUE,73000,4140,No
DUBUQUE,122000,8023,Yes
DUBUQUE,97271,8960,Yes
DUBUQUE,160000,23409,Yes
DUBUQUE,167000,10400,Yes
DUBUQUE,138000,7800,Yes
DUBUQUE,196000,11342,Yes
DUBUQUE,205000,0,Yes
DUBUQUE,284900,13296,Yes
DUBUQUE,160000,5176,Yes
